weld force(bar),weld current(kA),weld Voltage(v),weld time(ms)
2.3600000000000003,14.58,2.693,72.0
2.3600000000000003,14.58,2.693,72.0
2.38,14.570000000000002,2.697,71.0
2.38,14.570000000000002,2.697,72.0
2.37,14.56,2.7,70.0
2.37,14.56,2.7,71.0
2.37,14.549999999999999,2.701,72.0
2.37,14.549999999999999,2.701,72.0
2.3899999999999997,14.56,2.7119999999999997,72.0
2.3899999999999997,14.56,2.7119999999999997,73.0
2.38,14.53,2.7110000000000003,71.0
2.38,14.53,2.7110000000000003,71.0
2.37,14.58,2.708,72.0
2.37,14.58,2.708,72.0
2.34,14.58,2.702,72.0
2.34,14.58,2.702,72.0
2.35,14.6,2.698,72.0
2.35,14.6,2.698,72.0
2.3600000000000003,14.62,2.697,72.0
2.3600000000000003,14.62,2.697,71.0
2.34,14.58,2.7,71.0
2.34,14.58,2.7,71.0
2.37,14.590000000000002,2.702,71.0
2.37,14.590000000000002,2.702,71.0
2.38,14.56,2.7089999999999996,72.0
2.38,14.56,2.7089999999999996,73.0
2.37,14.58,2.71,71.0
2.37,14.58,2.71,72.0
2.37,14.56,2.7060000000000004,71.0
2.37,14.56,2.7060000000000004,72.0
2.3600000000000003,14.549999999999999,2.701,73.0
2.3600000000000003,14.549999999999999,2.701,71.0
2.3600000000000003,14.58,2.698,72.0
2.3600000000000003,14.58,2.698,72.0
2.37,14.58,2.701,72.0
2.37,14.58,2.701,72.0
2.3600000000000003,14.610000000000001,2.696,72.0
2.3600000000000003,14.610000000000001,2.696,72.0
2.38,14.610000000000001,2.705,72.0
2.38,14.610000000000001,2.705,71.0
2.38,14.58,2.708,71.0
2.38,14.58,2.708,72.0
2.38,14.6,2.7089999999999996,71.0
2.38,14.6,2.7089999999999996,73.0
2.3600000000000003,14.570000000000002,2.7039999999999997,72.0
2.3600000000000003,14.570000000000002,2.7039999999999997,72.0
2.38,14.58,2.7,72.0
2.38,14.58,2.7,72.0
2.37,14.62,2.7,72.0
2.37,14.62,2.7,72.0
2.35,14.58,2.698,72.0
2.35,14.58,2.698,72.0
2.38,14.610000000000001,2.701,72.0
2.38,14.610000000000001,2.701,71.0
2.37,14.6,2.701,71.0
2.37,14.6,2.701,72.0
2.37,14.590000000000002,2.7,71.0
2.37,14.590000000000002,2.7,73.0
2.37,14.58,2.7030000000000003,72.0
2.37,14.58,2.7030000000000003,72.0
2.3600000000000003,14.6,2.693,72.0
2.3600000000000003,14.6,2.693,72.0
2.3600000000000003,14.610000000000001,2.698,72.0
2.3600000000000003,14.610000000000001,2.698,71.0
2.37,14.62,2.7,72.0
2.37,14.62,2.7,72.0
2.3600000000000003,14.6,2.7060000000000004,71.0
2.3600000000000003,14.6,2.7060000000000004,72.0
2.37,14.610000000000001,2.707,70.0
2.37,14.610000000000001,2.707,71.0
2.3600000000000003,14.65,2.7060000000000004,72.0
2.3600000000000003,14.65,2.7060000000000004,72.0
2.35,14.6,2.702,72.0
2.35,14.6,2.702,73.0
2.35,14.62,2.693,71.0
2.35,14.62,2.693,71.0
2.35,14.56,2.697,72.0
2.35,14.56,2.697,72.0
2.34,14.590000000000002,2.699,72.0
2.34,14.590000000000002,2.699,72.0
2.37,14.549999999999999,2.702,72.0
